"ACTIONEVENTID","BATTLE","FIELD","DESC","TARGETTYPE","PARAMETERTYPE","TARGETNAME","ATTR","VAL","P","SPREAD","DCT","ANIMATIONID","ANIMATIONMOVETYPE"
"E00001","TRUE","TRUE","効果なし","SELF","","","","0","1","0","","",""
"E00002","TRUE","TRUE","術者MP消費1","SELF","STATUS","MP","NONE","1","1","0.05","DIRECT","",""
"E00003","TRUE","TRUE","術者MP消費2","SELF","STATUS","MP","NONE","2","1","0.05","DIRECT","",""
"E00004","TRUE","TRUE","術者MP消費3","SELF","STATUS","MP","NONE","3","1","0.05","DIRECT","",""
"E00005","TRUE","TRUE","術者MP消費4","SELF","STATUS","MP","NONE","4","1","0.05","DIRECT","",""
"E00006","TRUE","TRUE","術者MP消費5","SELF","STATUS","MP","NONE","5","1","0.05","DIRECT","",""
"E00007","TRUE","TRUE","術者MP消費6","SELF","STATUS","MP","NONE","6","1","0.05","DIRECT","",""
"E00008","TRUE","TRUE","術者MP消費7","SELF","STATUS","MP","NONE","7","1","0.05","DIRECT","",""
"E00009","TRUE","TRUE","術者MP消費8","SELF","STATUS","MP","NONE","8","1","0.05","DIRECT","",""
"E00010","TRUE","TRUE","術者MP消費9","SELF","STATUS","MP","NONE","9","1","0.05","DIRECT","",""
"E00011","TRUE","TRUE","術者MP消費10","SELF","STATUS","MP","NONE","10","1","0.05","DIRECT","",""
"E00012","TRUE","TRUE","術者MP消費11","SELF","STATUS","MP","NONE","11","1","0.05","DIRECT","",""
"E00013","TRUE","TRUE","術者MP消費12","SELF","STATUS","MP","NONE","12","1","0.05","DIRECT","",""
"E00014","TRUE","TRUE","術者MP消費13","SELF","STATUS","MP","NONE","13","1","0.05","DIRECT","",""
"E00015","TRUE","TRUE","術者MP消費14","SELF","STATUS","MP","NONE","14","1","0.05","DIRECT","",""
"E00016","TRUE","TRUE","術者MP消費15","SELF","STATUS","MP","NONE","15","1","0.05","DIRECT","",""
"E00017","TRUE","TRUE","術者MP消費16","SELF","STATUS","MP","NONE","16","1","0.05","DIRECT","",""
"E00018","TRUE","TRUE","術者MP消費17","SELF","STATUS","MP","NONE","17","1","0.05","DIRECT","",""
"E00019","TRUE","TRUE","術者MP消費18","SELF","STATUS","MP","NONE","18","1","0.05","DIRECT","",""
"E00020","TRUE","TRUE","術者MP消費19","SELF","STATUS","MP","NONE","19","1","0.05","DIRECT","",""
"E00021","TRUE","TRUE","術者MP消費20","SELF","STATUS","MP","NONE","20","1","0.05","DIRECT","",""
"E00022","TRUE","TRUE","術者MP消費21","SELF","STATUS","MP","NONE","21","1","0.05","DIRECT","",""
"E00023","TRUE","TRUE","術者MP消費22","SELF","STATUS","MP","NONE","22","1","0.05","DIRECT","",""
"E00024","TRUE","TRUE","術者MP消費23","SELF","STATUS","MP","NONE","23","1","0.05","DIRECT","",""
"E00025","TRUE","TRUE","術者MP消費24","SELF","STATUS","MP","NONE","24","1","0.05","DIRECT","",""
"E00026","TRUE","TRUE","術者MP消費25","SELF","STATUS","MP","NONE","25","1","0.05","DIRECT","",""
"E00027","TRUE","TRUE","術者MP消費26","SELF","STATUS","MP","NONE","26","1","0.05","DIRECT","",""
"E00028","TRUE","TRUE","術者MP消費27","SELF","STATUS","MP","NONE","27","1","0.05","DIRECT","",""
"E00029","TRUE","TRUE","術者MP消費28","SELF","STATUS","MP","NONE","28","1","0.05","DIRECT","",""
"E00030","TRUE","TRUE","術者MP消費29","SELF","STATUS","MP","NONE","29","1","0.05","DIRECT","",""
"E00031","TRUE","TRUE","術者MP消費30","SELF","STATUS","MP","NONE","30","1","0.05","DIRECT","",""
"E00032","TRUE","TRUE","術者MP消費31","SELF","STATUS","MP","NONE","31","1","0.05","DIRECT","",""
"E00033","TRUE","TRUE","術者MP消費32","SELF","STATUS","MP","NONE","32","1","0.05","DIRECT","",""
"E00034","TRUE","TRUE","術者正気度消費1","SELF","STATUS","SAN","NONE","1","1","0.05","DIRECT","",""
"E00035","TRUE","TRUE","術者正気度消費2","SELF","STATUS","SAN","NONE","2","1","0.05","DIRECT","",""
"E00036","TRUE","TRUE","術者正気度消費3","SELF","STATUS","SAN","NONE","3","1","0.05","DIRECT","",""
"E00037","TRUE","TRUE","術者正気度消費4","SELF","STATUS","SAN","NONE","4","1","0.05","DIRECT","",""
"E00038","TRUE","TRUE","術者正気度消費5","SELF","STATUS","SAN","NONE","5","1","0.05","DIRECT","",""
"E00039","TRUE","TRUE","術者正気度消費6","SELF","STATUS","SAN","NONE","6","1","0.05","DIRECT","",""
"E00040","TRUE","TRUE","術者正気度消費7","SELF","STATUS","SAN","NONE","7","1","0.05","DIRECT","",""
"E00041","TRUE","TRUE","術者正気度消費8","SELF","STATUS","SAN","NONE","8","1","0.05","DIRECT","",""
"E00042","TRUE","TRUE","術者正気度消費9","SELF","STATUS","SAN","NONE","9","1","0.05","DIRECT","",""
