"ITEMID","TARGETNAME","VAL"
"A4010","ATK","1"
"A4011","ATK","2"
"A4012","ATK","2"
"A4014","ATK","2"
"A4015","ATK","2"
"A4016","ATK","2"
"A4017","ATK","2"
"A4018","ATK","3"
"A4019","ATK","2"
"A4020","ATK","2"
"A4021","ATK","3"
"A4022","ATK","6"
"A4023","ATK","1"
"A4024","ATK","4"
"A4025","ATK","3"
"A4026","ATK","5"
"A4027","ATK","2"
"A4028","ATK","2"
"A4029","ATK","2"
"A4030","ATK","2"
"A4031","ATK","2"
"A4032","ATK","2"
"A4033","ATK","2"
"A4043","ATK","16"
"A4044","ATK","211"
"A4045","ATK","25"
"A4046","ATK","40"
"A4047","ATK","65"
"A4048","ATK","20"
"A4049","ATK","40"
"A4050","ATK","60"
"A4051","ATK","25"
"A4052","ATK","40"
"A4053","ATK","65"
"A4054","ATK","20"
"A4055","ATK","40"
"A4056","ATK","60"
"A4057","ATK","40"
"A4058","ATK","60"
"A4059","ATK","80"
"A4060","ATK","25"
"A4061","ATK","6"
"A4062","ATK","4"
"A4063","ATK","8"
"A4064","ATK","7"
"A4065","DEF","5"
"A4066","DEF","8"
"A4067","ATK","17"
"A4068","ATK","15"
"A4069","ATK","16"
"A4070","ATK","15"
"A4071","ATK","4"
"A4072","ATK","15"
"A4073","ATK","15"
"A4074","ATK","16"
"A4075","ATK","16"
"A4076","ATK","6"
"A4077","ATK","22"
"A4078","ATK","20"
"A4079","ATK","10"
"A4080","ATK","16"
"A4081","ATK","12"
"A4082","ATK","14"
"A4083","ATK","8"
"A4084","ATK","10"
"A4085","ATK","12"
"A4086","ATK","3"
"A4087","ATK","1"
"A4088","ATK","2"
"A4089","ATK","3"
"A4090","ATK","4"
"A4091","ATK","4"
"A4092","ATK","9"
"A4093","ATK","46"
"A4094","ATK","13"
"A4095","ATK","36"
"A4096","ATK","36"
"A4097","ATK","7"
"A4098","ATK","44"
"A4099","ATK","88"
"A4100","ATK","374"
"A4101","ATK","288"
"A4102","ATK","116"
"A4103","ATK","355"
"A4104","ATK","48"
"A4105","ATK","19"
"A4106","ATK","19"
"A4107","ATK","22"
"A4108","ATK","16"
"A4109","ATK","32"
"A4110","ATK","48"
"A4111","ATK","64"
"A4112","ATK","48"
"A4113","ATK","64"
"A4114","ATK","80"
"A4115","ATK","66"
"A4116","ATK","25"
"A4117","ATK","156"
"A4118","ATK","251"
"A4119","ATK","287"
"A4120","ATK","161"
"A4121","ATK","181"
"A4122","ATK","61"
"A4123","ATK","55"
"A4124","ATK","48"
"A4125","ATK","42"
"A4126","ATK","17"
"A4127","ATK","28"
"A4128","ATK","20"
"A4129","ATK","216"
"A4130","ATK","31"
"A4131","ATK","55"
