"ITEMID","VISIBLENAME","DESC","VAL","SLOTID","WEAPONTYPE","AREA","CANSALE","CURRENTUPGRADENUM","DCSCSV","WAITTIME","SOUNDID","ATTACKCOUNT","SELECTTYPE","IFF","DEFAULTTARGETTEAM","SWITCHTEAM","SELFTARGET","TARGETING"
"A4000","＜本＞誰かの日記「2022-12-26」","遊んでくれてありがとう！今は2022年12月26日21:30。/FW開発開始から2か月くらいです。/魔術ウインドウの処理を作っています。/毎日仕事の後コツコツ作っていますが、なかなか進みませんね。","10",,,,"TRUE",,,,,,,,,,,
"A4001","漁師の非常食","漁に出られないときや緊急避難時に食べるための、日持ちする非常食だ。/味方一人の体力をわずかに回復する","120",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4002","ワイルドステーキ","味方一人の体力をわずかに回復する。","800",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4003","ウイスキー","味方一人の体力をわずかに回復する。また精神力も回復する。","500",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4004","麦焼酎","味方一人の体力をわずかに回復する。また精神力も回復する。","500",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4005","なまにく","食べられないこともないが、危ないでしょ。/味方一人の体力をわずかに回復するが、高確率で毒状態になる。","400",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4006","そば団子","おいしいお団子だ！！！！最高！/味方一人の体力をわずかに回復する。","98",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4007","出前もりそば","おいしいお蕎麦！！！！！最高！/味方一人の体力をわずかに回復する。","450",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4008","インスタント蕎麦","近代の技術によって進化を遂げたそばだ！最高！/味方一人の体力をわずかに回復する。","298",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4009","魔射缶調理そば","近代の技術によって進化を遂げたそばだ！最高！/味方一人の体力をわずかに回復する。","450",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4010","ゆかりのもみあげ","誰かのもみあげだが、装備できる。/またなぜか食べることもできる。","1200","OTHER",,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4011","ねぎ","その辺の畑で栽培されてたネギだ。/剣として使えるし、食べることもできる/味方一人の体力をわずかに回復する。","120","ARM","WT0001","20","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4012","ごぼう","その辺の畑で栽培されてごぼうだ。/剣として使えるし、食べることもできる/味方一人の体力をわずかに回復する。","120","ARM","WT0001","20","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4013","激辛ソース","からいソースだ！/精神力にわずかにダメージを受けるが魔力が回復する。","210",,,,"TRUE",,,"60","SD1013",,"ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4014","金魚","魚だ。これを武器として使うのか？正気か？/食べることもできる。","100","ARM","WT0008","3","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4015","サバ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","200","ARM","WT0002","10","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4016","サンマ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","200","ARM","WT0002","8","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4017","タチウオ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","300","ARM","WT0005","20","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4018","シャケ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","500","ARM","WT0008","18","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4019","ナマズ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","200","ARM","WT0008","18","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4020","アジ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","200","ARM","WT0008","15","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4021","ボラ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","100","ARM","WT0008","15","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4022","カジキ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","12800","ARM","WT0006","22","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4023","イワシ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","80","ARM","WT0008","8","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4024","カツオ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","4000","ARM","WT0008","15","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4025","マグロ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","15000","ARM","WT0008","25","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4026","サメ","魚だ。これを武器として使うのか？正気か？/食べることもできる。","800","ARM","WT0001","30","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4027","フグ","魚だ。これを武器として使うのか？正気か？/食べることもできるが、高確率で即死する。","80","ARM","WT0008","15","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4028","ニシン","魚だ。これを武器として使うのか？正気か？/食べることもできる。","200","ARM","WT0008","10","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4029","立派なキノコ","キノコだ。これを武器として使うのか？正気か？/食べることもできるが、まれに毒になる。","50","ARM","WT0008","10","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4030","しょぼいキノコ","キノコだ。これを武器として使うのか？正気か？/食べることもできるが、まれに気絶する。","15","ARM","WT0008","10","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4031","ハイパーキノコ","キノコだ。これを武器として使うのか？正気か？/食べることもできるが、まれに混乱する。","500","ARM","WT0008","10","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4032","細いキノコ","キノコだ。これを武器として使うのか？正気か？/食べることもできるが、まれに睡眠になる。","50","ARM","WT0008","10","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4033","危険なキノコ","キノコだ。これを武器として使うのか？正気か？/食べることもできるが、まれに発狂する。","50","ARM","WT0008","10","TRUE","0","STR,DEX","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4034","生豆","豆は生では食べられません。/味方一人の体力をわずかに回復するが、毒状態になる。","50",,,,"TRUE",,,"60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
